commit	val_sharpe	sortino	sharpe_ann_4h	calmar	psr	dsr	skew	kurtosis	max_drawdown	win_rate	total_trades	status	timestamp	description
4be1584	1.137666	1.946900	1.139407	4.024677	0.975090	0.975090	-0.069	75.574	1.63	0.581	43	keep	2026-05-26 00:16	Replace time-decay exit (40 bars) with ATR-based fixed R-multiple exit (3x ATR take-profit) for cleaner trend capture.
db186b4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	crash	2026-05-26 13:54	Relax ATR take-profit from 3.0x to 4.0x ATR to let winners run longer before being clipped; the trailing stop already provides a volatility-aware ceiling so increasing TP distance should improve reali
7733a35	1.072543	1.829219	1.078676	3.483622	0.967657	0.967657	-0.486	91.561	1.83	0.500	40	discard	2026-05-26 13:55	Fix read-only array crash by adding `.copy()` to all `to_numpy()` calls — PyArrow-backed DataFrames return read-only arrays that backtesting's in-place normalization can't modify.
26a88b8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	crash	2026-05-26 13:56	Replace ATR-based fixed R-multiple take-profit (4be1584) with a 30-bar time-decay exit to remove redundant exit rail and reduce trade duration sensitivity to volatility regime.
8159fe3	1.250632	2.331410	1.292059	4.829169	0.987365	0.985198	0.458	72.630	1.63	0.571	35	keep	2026-05-26 13:58	Fix read-only array crash by adding `.copy()` to all `to_numpy()` calls in helper functions — the same crash that was previously fixed in 7733a35 but reappeared when the time-decay exit variant (26a88
1b23fdc	1.424492	2.760424	1.425018	6.742376	0.993368	0.987628	0.743	70.943	1.32	0.618	34	keep	2026-05-26 13:58	Remove redundant Donchian short-exit rail to let trailing stop capture more of trending moves; keep ATR stop and time-decay as the two complementary exit rails.
42f5436	1.453972	2.746489	1.535240	5.439565	0.996772	0.989957	2.047	77.713	1.99	0.585	41	keep	2026-05-26 13:58	Remove the 200-bar SMA regime filter from entry conditions — it's been identified as too restrictive and caused 0-trade crashes; ADX momentum confirmation and volatility regime filter already provide 
9dc8828	1.453972	2.746489	1.535240	5.439565	0.996772	0.985387	2.047	77.713	1.99	0.585	41	discard	2026-05-26 13:59	Revert ATR-based fixed R-multiple take-profit exit back to time-decay (30 bars) — ATR TP was redundant with the trailing stop and regressed sharpe from 1.45→1.14; prior time-decay crash (26a88b8) was 
fe2d71e	1.453807	2.681413	1.578954	6.285910	0.996752	0.983609	0.243	65.196	2.22	0.556	36	discard	2026-05-26 14:02	Remove time-decay exit (30 bars) to let the ATR trailing stop be the sole exit — the time exit was cutting trending trades short before the volatility-aware stop could capture full moves; ATR stop alo
b3d540b	1.385374	2.598045	1.455918	5.184707	0.995053	0.972888	1.990	75.304	1.99	0.581	43	discard	2026-05-26 14:05	Remove the volume_sma confirmation filter (only 20-bar volume comparison) which is redundant with the ATR volatility regime and ADX momentum filters that already validate trade quality — volume in cry
